0.949	0.997
1.236	0.988
1.022	1.105
2.23	4.051
4.679	4.241
4.014	10.383
6.02	8.705
7.909	8.325
6.85	7.66
8.234	8.741
5.916	5.891
6.835	6.674
5.404	8.74
4.963	6.878
5.502	5.628
5.679	6.051
3.622	4.915
4.343	5.412
3.751	12.112
4.899	5.092
3.458	8.791
5.111	5.739
5.381	9.494
5.182	4.855
3.351	8.724
4.962	4.826
3.285	8.934
4.874	4.697
3.324	8.671
4.912	5.002
3.175	9.214
5.208	4.45
3.158	8.218
4.551	4.357
3.089	8.006
4.565	4.98
3.566	12.352
7.596	6.366
5.088	10.503
4.914	4.715
3.311	8.519
4.357	4.265
3.009	8.004
4.89	4.833
3.37	10.02
7.332	4.889
3.351	8.677
4.886	4.703
3.194	8.57
4.822	4.632
3.243	8.44
4.809	4.587
3.278	8.465
4.812	4.597
3.303	8.684
4.927	4.728
3.29	8.707
4.777	4.896
3.455	9.142
4.977	4.866
3.59	
